recommendationid,content,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_at_review_min,playtime_forever_min,author_steamid,timestamp_created
213790819,DLC 재밌노 ㅋ 보스 다 재밌음,1,1,1,0.523809552192687988,2283,2320,76561198113541589,1766291850
213790534,세키로 엘든링 닼소 다 깼는데 피거짓은 입문자용 스타일리쉬? 한 느낌입니다 난이도는 밤불검들고 겜하는것 같음 마지막 진엔딩에서 제페토가 하는말 보고 눈물 살짝 남 피는 자신의 기준으로 판단내리는 인간이다!,1,0,0,0.5,2833,2833,76561198237225376,1766291531
213736488,간만에 게임하다가 스트레스 받았음. 검은 토끼단 제외하고는 좋음.,1,0,0,0.5,716,942,76561199020557100,1766244565
213730859,극 기모찌,1,0,0,0.5,6255,8599,76561198212787289,1766240466
213685901,수작,1,0,0,0.5,1214,1809,76561199754680271,1766191553
213634624,세키로하고 해서 그런가 퍼가만 써서 클리어 했음. 손맛 좋은듯 나중에 2회차 돌고 DLC까지 사서 할것 같음.,1,0,0,0.5,2823,2867,76561198372852289,1766144404
213632570,국산게임중에선 스텔라블레이드랑 비교했을땐.. 개인적으론 재미는 스텔라블레이드에 한표를 주겠지만..  이게임도 정통 소울라이크 게임중에선 수준높은 완성도의 괜찮은 게임  스팀덱에서도 무리없이 매우 잘 돌아감,1,0,0,0.5,4251,4251,76561198112392507,1766141666
213520028,재미는 있는데 패링 원패턴 너무 질림  솔직히 그냥 어려운 구르기 아닌가 싶기도 하고  그래도 맵이 단순해서 헤매는 시간이 많이 없던건 좋았음  추천,1,5,0,0.552238762378692627,1295,1295,76561198849345615,1765999839
213421552,미식이네요,1,0,0,0.5,630,647,76561198864822876,1765893826
213421206,잘만들음,1,0,0,0.5,748,915,76561198821079803,1765893493
213413403,레벨 디자인 자체가 맛있게 잘되어 있는 것 같습니다. 맵 설계도 악랄하면서 재미있는 게 좋았네요. 이런 느낌의 게임이 좀 더 많아졌으면 하는 생각입니다.,1,0,0,0.5,1725,1725,76561198411232871,1765883994
213391893,이런게임류가 처음이라 좀 어렵긴한데 재밌네 성당에서 길 못찾고 점프도 안되서 몇시간을 허비했는데 점프가 무게 무거우면 안되는거더라 열받긴해도 할만하다,1,0,0,0.45267486572265625,710,3794,76561198433259300,1765849700
